price,model,title
NA,BSA12IBE,"LG BSA12IBE Inverter V Split AC (1 Ton, White, Aluminium)"
"31,490.00",RAW518KUD,"Hitachi 1.5 Ton 5 Star Window AC (RAW518KUD Kaze Plus, White)"
"35,500.00",1.5 T 183 LYA,"Voltas 183 LYA Series Split AC (1.5 Ton, 3 Star Rating, White, Aluminium)"
"34,100.00",5HW12SA1,"Blue Star 5HW12SA1 Split AC (1 Ton, 5 Star Rating, White, Aluminium)"
"48,300.00",24K Esko (5 Star),"Carrier 2 Ton 5 Star Split AC (Esko, White)"
"35,290.00",VSN35.WV2-MDA,"Videocon VSN35.WV2-MDA Split AC (1 Ton, 5 Star Rating, White)"
"30,990.00",18K Esko (3 Star),"Carrier 1.5 Ton 3 Star Split AC (Esko, White)"
"23,430.00",2WAE121YC,"Blue Star 2WAE121YC Window AC (1 Ton, 2 Star Rating, White, Copper)"
NA,RAU314AWD,"Hitachi RAU314AWD Zunoh Split AC (1.2 Ton, 3 Star Rating, White, Copper)"
NA,LSA5NP3A,"LG LSA5NP3A/A1 Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
"43,370.00",MS11D12-18CRDN2-QC2,"Carrier 18K Superia Plus K+ Inverter Split AC (1.5 Ton, White, Copper)"
"28,900.00",VS4T33.WV,"Videocon VS4T33.WV Split AC (1 Ton, 3 Star Rating, White, Copper, R410A)"
NA,HS4F53.GCR-CM,"Hyundai HS4F53.GCR-CM Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
"31,700.00",3HW12FA1,"Blue Star 3HW12FA1 Split AC (1 Ton, 3 Star Rating, White, Aluminium)"
"30,990.00",VSM55,VSM55.WV1 SPLIT AC 1.5 TON 5 STAR ( 2017 MODEL)
"53,025.00",1.5T 18V DY,"Voltas 18V DY DC Inverter Y Series Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
NA,1.5 T 183 YA-R/YT-R,"Voltas 183 YA-R/YT-R  Premium Ya R Series Split AC (1.5 Ton, 3 Star Rating, Red, Copper)"
"46,900.00",3HW24VC1,"Blue Star 3HW24VC1 Split AC (2 Ton, 3 Star Rating, White, Copper)"
NA,ES12M5C,"Electrolux ES12M5C Remote Control Split AC (1 Ton, 5 Star Rating, White, Copper)"
"33,620.00",S183FLT-L,"Onida S183FLT-L Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
"30,350.00",BI-3HW12FAX,"Blue Star BI-3HW12FAX Split AC (1 Ton, 3 Star Rating, White)"
"36,800.00",BI-3HW18FAX,"Blue Star BI-3HW18FAX Split AC (1.5 Ton, 3 Star Rating, White, Aluminium)"
"37,500.00",BI-3CNHW12CAFU,"Blue Star BI-3CNHW12CAFU Split AC (1 Ton, 3 Star Rating, White, Copper)"
NA,BI-5HW12ZCWX,"Blue Star BI-5HW12ZCWX Split AC (1 Ton, 5 Star Rating, White)"
"24,270.00",183 CYa,"Voltas 1.5 Ton 3 Star Window AC (183CYA, White)"
"43,990.00",AXGT18FHTA,"Ogeneral AXGT18FHTA Window Ac (1.5 Ton, 3 Star, White)"
NA,Amazon/Seller fulfilled,"Samsung AR12MV3HETS Inverter Split AC (1 Ton, Magnolia, Alloy)"
NA,LSA5PW3M,"LG LSA5PW3M Split AC (1.5 Ton, 3 Star Rating, Pearl White, Aluminium)"
"27,490.00",LWA5BP1F,"LG LWA5BP1F Window AC (1.5 Ton, 1 Star Rating, White, Copper)"
NA,LWA5BP3F,"LG LWA5GW3 Window AC (1.5 Ton, 3 Star Rating, White, Copper)"
"35,900.00",LSA5AT3D1,"LG LSA5AT3D1 L-Aura Terminator Split AC (1.5 Ton, 3 Star Rating, Silver, Aluminium)"
"34,990.00",LWA5CT5A,"LG LWA5CT5A L-Crescent Terminator Window AC (1.5 Ton, 5 Star Rating, White, Copper)"
NA,LS19A3HR,"Lloyd Tranquil LS19A3HR Split AC (1.5 Ton, 3 Star Rating, White)"
"24,900.00",SMART-S093SMH-W,"Onida Smart S093SMH W Split AC (0.8 Ton, White, Copper)"
"32,000.00",VSB55.WV1-MDA,"Videocon VSB55.WV1-MDA Split AC (1.5 Ton, 5 Star Rating, White)"
"41,000.00",LWA5CS5A1,"LG LWA5CS5A1 Window AC (1.5 Ton, 5 Star Rating, White, Copper)"
NA,UC18RKY2,"Panasonic UC18RKY2 Split AC (1.5 Ton, 2 Star Rating, White, Copper)"
"46,190.00",2.0 T C 242 CY,"Voltas 2.0TC242CY Split AC (2 Ton, 2 Star Rating, White, Copper)"
"30,450.00",DTC35QRV16,"Daikin R-32 DTC Series Split AC (1 Ton, 3 Star Rating, White)"
"27,490.00",SAC 175 IY,"Voltas 1.4 Ton 5 Star Split AC (Aluminium, SAC 175 IY, White/Black)"
"36,990.00",LSA5NP3F,"LG LSA5NP3F Non Inverter Split AC (1.5 Ton, 3 Star Rating, White, Aluminium)"
NA,RAW218KUD,"Hitachi RAW218KUD Kaze Plus Window AC (1.5 Ton, 2 Star Rating, White, Copper)"
NA,183 LYE,"Voltas 183 LYE Window AC (1.5 Ton, 3 Star Rating, White, Copper)"
"41,600.00",3D Cool Deluxe III(1.5 T),"Whirlpool 3D Cool Deluxe III Split AC (1.5 Ton, 3 Star Rating, Silver)"
NA,Superia Plus Inverter,"Carrier Superia Plus Inverter Split AC (1.5 Ton, White, Copper)"
"25,800.00",1.5T 183 EY,"Voltas 183 EY Executive Y Series Window AC (1.5 Ton, 3 Star Rating, White, Copper)"
"33,990.00",JS-Q18CPXD.ANLG,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18CPXD, White)"
NA,MAGICOOL DLX III(1.5 T),"Whirlpool MAGICOOL DLX III Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
NA,185 Dyi,"Voltas 185 DYI Jade Y Series Split AC (1.5 tons, 5 Star Rating, White, Copper)"
"36,500.00",42KGN - 012B,"Carrier 12K Novello Plus Split AC (1 Ton, 3 Star Rating, White, Copper)"
"67,500.00",MS11D12-21CRDN2-QC2W,"Carrier 24K Superia Plus K+ Inverter Split AC (2 Ton, White, Copper)"
"67,500.00",MS11D12-24HRDN1-QC2W,"Carrier 24K Superia 365 Inverter Split AC (2 Ton, White, Copper)"
"47,900.00",42KGN - 018Nm,"Carrier 18K Octra Split AC (1.5 Ton, 5 Star Rating, White, Copper)"
"31,800.00",3HW12HAF1,"Blue Star 3HW12HAF1 Split AC (1 Ton, 3 Star Rating, White, Aluminium)"
NA,3HW12VC1,"Blue Star 3HW12VC1 Split AC (1 Ton, 3 Star Rating, White, Copper)"
NA,S123FLT-L,"Onida S123FLT-L Split AC (1 Ton, 3 Star Rating, White, Copper)"
"30,500.00",S182FLT-L,"Onida S182FLT-L Split AC (1.5 Ton, 2 Star Rating, White, Copper)"
"33,490.00",LSA3SP3D,"LG LSA3SP3D L-Stella Plus Split AC (1 Ton, 3 Star Rating, White, Copper)"
"29,890.00",LSA5NP2A1,"LG LSA5NP2A1 L-Nova Plus Split AC (1.5 Ton, 2 Star Rating, White, Aluminium)"
NA,RAW122KUD,"Hitachi RAW122KUD Kaze Plus Window AC (2 Ton, 1 Star Rating, White, Copper)"
"23,000.00",LWA2CP1F,"LG LWA2CP1F Window AC (0.75 Ton, 1 Star Rating, White, Copper)"
"31,980.00",RAU312HUD,"Hitachi RAU312HUD Kaze Plus Split AC (1 Ton, 3 Star Rating, White, Copper)"
NA,3D Cool Deluxe III(1.5 T),"Whirlpool 3D Cool Deluxe III Split AC (1.5 Ton, 3 Star Rating, White)"
"34,000.00",3D Cool Deluxe III(1 T),"Whirlpool 3D Cool Deluxe III Split AC (1 Ton, 3 Star Rating, White, Copper)"
"33,500.00",Magicool Elite IV(1.5 T),"Whirlpool Magicool Elite IV Window AC (1.5 Ton, 4 Star Rating, White)"
"28,990.00",125 EYR,"Voltas 1 Ton 5 Star Split AC (125 EYR, Wine Red)"
NA,US18SKY-1,PANASONIC INVERTER AC 1.5 TON US18SKY-1
"48,900.00",24K DURACTIV,CARRIER SPLIT AC 2.0 TON 24K DURACTIV
"42,900.00",18K duractiv 5 star,Carrier Split 18K Duractiv 5 Star Ac
NA,PGKSIAO1818A3S P18,Koryo 1.5 Ton 3 Star Split AC PGKSIAO1818A3S P18 - White
"44,690.00",CACS24LE3J3,Carrier 2 Ton 3 Star Split AC Legend (Cyclojet)
"35,890.00",CACS18LE3J3,Carrier 1.5 Ton 3 Star Split AC Legend (Cyclojet)
"25,999.00",Amazon/Seller fulfilled,"Samsung 1.5 Ton 3 Star Split AC (AR18MC3ULGM, White)"
NA,JS-Q18SUXD,"LG JS-Q18SUXD Inverter Split AC (1.5 Ton, 3 Star Rating, White, Aluminum)"
"36,828.00",JS-Q12MPXD,"LG JS-Q12MPXD Inverter Split AC (1 Ton, 3 Star Rating, White, Aluminum)"
NA,HSU-13NSS3(DCINV),"Haier HSU-13NSS3-DCINV Inverter Split AC (1 Ton, 3  Star Rating, White, Copper)"
"35,499.00",VSM35.WV1,VIDEOCON 1 TON 5 STAR SPLIT AC VSM35
NA,GSC18DG3,GODREJ GSC18DG3 1.5 ton 3 star
"47,300.00",UC24SKY3,Panasonic CU-UC24SKY3 Split AC (2 Ton 3 Star)
"20,490.00",KSZ53.WS1-MDA,"Kenstar 1.5 Ton 3 Star Split AC (KSZ53.WS1-MDA, White)"
"46,800.00",Amazon/Seller fulfilled,"Samsung AR18MV5HETS Inverter Split AC (1.5 Ton, Magnolia, Alloy)"
"28,000.00",Amazon/Seller fulfilled,"Samsung AR12MC3JNMV  Split AC (1 Ton, 3  Star Rating, Morning Glory Violet Strip, Alloy)"
"39,668.00",Amazon/Seller fulfilled,"Samsung AR12MV5HETS Inverter Split AC (1 Ton, Magnolia, Alloy)"
"40,900.00",Amazon/Seller fulfilled,"Samsung AR18MC5HDWK Split AC (1.5 Ton, 5 Star Rating, Plain, Alloy)"
"49,500.00",Amazon/Seller fulfilled,"Samsung AR24MV3HETR Inverter Split AC (2 Ton, Starflower, Alloy)"
"27,900.00",VSA53.RV2,"Videocon VSA53.RV2 Split AC (1.5 Ton, 3 Star Rating, Red)"
"34,990.00",Amazon/Seller fulfilled,"Samsung 1.5 Ton 3 Star Split AC (AR18MC3HDTT, White)"
"29,490.00",VSF55.WV2,"Videocon VSF55.WV2 Split AC (1.5 Ton, 5 Star Rating, White)"
"39,870.00",SUPERIA RED 3S,"CARRIER SPLIT AC 1.50 TON SUPERIA RED 3S, Copper)"
"39,600.00",DURAEDGE,"CARRIER SPLIT AC 1.50 TON DURAEDGE 3S, Copper)"
"48,400.00",DURAEDGE,"CARRIER SPLIT AC 1.50 TON DURAEDGE 5S, Copper)"
"30,000.00",LSA 3 SU3A COPPER,"LG LSA3SU3A Split AC (1.0 Ton, 3 Star Rating, White, Copper)"
"25,499.00",1.2 T 155 CY,"Voltas 1.2 Ton 5 Star Split AC (155 CY, White)"
"32,700.00",Amazon/Seller Fulfilled,"Samsung AR12KC3HATR Split AC (1 Ton, 3 Star Rating, Grey, Aluminium)"
"39,600.00",Amazon/Seller Fulfilled,"Samsung AR18KC3EDLW Split AC (1.5 Ton, 3 Star Rating, Refined Wine, Aluminium)"
"40,100.00",Amazon/Seller Fulfilled,"Samsung AR12KV5HBWK Inverter AC (1 Ton, Plain, Aluminium)"
"36,800.00",Amazon/Seller Fulfilled,"Samsung AR12KC5HATR Split AC (1 Ton, 5 Star Rating, Grey, Aluminium)"
"35,100.00",Amazon/Seller Fulfilled,"Samsung AR18KC2HATR Split AC (1.5 Ton, 2 Star Rating, Grey, Aluminium)"
"36,800.00",Amazon/Seller Fulfilled,"Samsung AR12KC5HATP Split AC (1 Ton, 5 Star Rating, Lily Grey, Aluminium)"
"27,990.00",S123SGS,"Onida 1 Ton 123SGC/S123SGS 3 Star Split Air Conditioner, Copper)"
NA,RAU518CWEA,"Hitachi RAU518CWEA Kashikoi Split AC (1.5 Ton, 5 Star Rating, Silver, Copper)"
NA,DXK37CLV-6,Mitsubishi DXK37CLV-6 1.1 Ton Split Air Conditioner (White)
NA,3W12LA,"Blue Star 3W12LA Window AC (0.75 Ton, 2 Star Rating, White, Copper)"
"47,500.00",BI-3CNHW18CAFU,"Blue Star BI-3CNHW18CAFU Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
"36,400.00",BI-5HW12SAFX,"Blue Star BI-5HW12SAFX Split AC (1 Ton, 3 Star Rating, White, Aluminium)"
"39,000.00",GB2F07FCBD4,Odosol MAX 4000 …
"39,000.00",UA2F07F9ECF,Odosol Eliminator …
"46,700.00",24K Flair - X,"Midea 24K Flair-X Split AC (2 Ton, 3 Star Rating, White)"
"32,700.00",12K Flair - X,"Midea 12K Flair-X Split AC (1 Ton, 3 Star Rating, White)"
"47,100.00",24K Florista,"Midea 24K Florista Split AC (2 Ton, 3 Star Rating, White)"
"36,300.00",18K Flair,"Midea 18K Flair Split AC (1.5 Ton, 3 Star Rating, White)"
"33,999.00",18K Esko (5 Star),"Carrier 1.5 Ton 5 Star Split AC (Esko, White)"
"40,687.00",DTKP35QRV16,"Daikin R-32 DTKP Series Split AC (1 Ton, White)"
"64,900.00",DTKP60QRV16,"Daikin R-32 DTKP Series Split AC (1.8 Ton, White)"
"39,200.00",DTF35QRV16,"Daikin R-32 DTF Series Split AC (1 Ton, 5 Star Rating, White)"
"46,200.00",DTKP50QRV16,"Daikin R-32 DTKP Series Split AC (1.5 Ton, White)"
"58,600.00",DTF60QRV16,"Daikin R-32 DTF Series Split AC (1.8 Ton, 5 Star Rating, White)"
"30,700.00",DTQ35QRV16,"Daikin R-32 DTQ Series Split AC (1 Ton, 2 Star Rating, White)"
"26,990.00",SAC 173 IY,"Voltas 1.4 Ton 3 Star Split AC (Copper, SAC 173 IY, White/Black)"
"45,600.00",3HW24FB1,"Blue Star 3HW24FB1 Split AC (2 Ton, 3 Star Rating, White, Copper)"
"30,000.00",VSN35.RV1 -MDA,"Videocon VSN35.RV1 -MDA Split AC (1 Ton, 5 Star Rating, Red)"
"28,000.00",VSD33 GV1,"Videocon VSD33 GV1 Split AC (1 Ton, 3 Star Rating, Graphic)"
"29,200.00",UC1815YA,"Panasonic UC1815YA Window AC (1.5 Ton, 2 Star Rating, White, Copper)"
"48,000.00",ZUNOH 200F,"Hitachi Fy41524 Hitachi Split Ac 2.00Â  Ton Zunoh 200F Rau 324 Avd 3S (2.00 Ton, 5 Star, Copper)"
"34,990.00",KAZE NEO,"HITACHI SPLIT AC 1.00  TON KAZE NEO RAU 312 HVD 3S, Copper)"
"24,490.00",KSZ55.WS1-MDA,"Kenstar 1.5 Ton 5 Star Split AC (KSZ55.WS1-MDA, White)"
"37,200.00",YC18RKY2,"Panasonic YC18RKY2 Split AC (1.5 Ton, 2 Star Rating, White, Copper)"
"29,900.00",YC12RKY2,"Panasonic YC12RKY2 Split AC (1 Ton, 2 Star Rating, White)"
NA,123 Ey-R,"Voltas 123 EY-R Executive YR Series Split AC (1 tons, 3 Star Rating, Wine Red, Aluminium)"
NA,183 EYR,"Voltas 183 EYR Zenith YA-R Series Split AC (1.5 tons, 3 Star Rating, Wine Red, Copper)"
"34,100.00",42KGE - 012M-WHE,"Carrier 12K Duraedge K+ Split AC (1 Ton, 2 Star Rating, White, Copper)"
"23,990.00",GSC 12 SFZH 3 RWPH,"Godrej 1 Ton 3 Star Split AC (GSC 12 SFZH 3 RWPH, White)"
NA,18V DY- Cool,"Voltas 18V DY- Cool Executive YI Series Split AC (2 tons, 3 Star Rating, White, Copper)"
NA,Amazon/Seller Fulfilled,"Samsung AR24JC2JAMV Split AC (2 Ton, 2 Star Ratiing, White)"
NA,LWA5CP3A,"LG LWA5CP3A L-Crescent Plus Window AC (1.5 Ton, 3 Star Rating, White, Copper)"
NA,LS13A3HR,"Lloyd Tranquil LS13A3HR Split AC (1 Ton, 3 Star Rating, White)"
"28,100.00",LS19A3LX,"Lloyd Aura LS19A3LX Split AC (1.5 Ton, 3 Star Rating, White)"
NA,CS-TS12RKY,"Panasonic CS-TS12RKY Inverter Split AC (1 Ton, White, Copper)"
NA,CS-TS18RKY,"Panasonic CS-TS18RKY Inverter Split AC (1.5 Ton, White, Copper)"
NA,CS-RC18RKY1,"Panasonic CS-RC18RKY1 Split AC (1.5 Ton, 5 Star Rating, White, Copper)"
"51,700.00",RAU018KVEA,"Hitachi RAU018KVEA Inverter Split AC (1.5 Ton, White, Copper)"
"46,000.00",RAU518IVD,"Hitachi RAU518IVD Split AC (1.5 Ton, 5 Star Rating, White, Copper)"
