price,model,title
"36,550.00",FP 343D PROTTON ROY ALPHA STEEL (N),"Whirlpool 330 L Frost-Free Multi-Door Refrigerator (FP 343D PROTTON ROY ALPHA STEEL (N), Alpha Steel)"
NA,GR-M24FWAHL,"LG GR-M24FWAHL Frost-free Side-by-Side Refrigerator (725 Ltrs, Star Rating, Shiny Mosaic)"
"24,829.00",FP 263D PROTTON ROY ALPHA STEEL (N),"Whirlpool Fp 263D Royal Protton Frost-free Multi Door Refrigerator (240 LTR, Alpha Steel)"
"86,500.00",Amazon/Seller Fulfilled,"Samsung 545 L 3 Star Frost-free Double Door Refrigerator (RS552NRUA7E, Silver)"
NA,RS EON 603 SM,"Godrej RS EON 603 SM Frost-free Side-by-Side Refrigerator (603 Ltrs, Metal)"
NA,GC-L207GAQV,"LG GC-L207GAQV Double-door Refrigerator (597 Ltrs, Artline)"
NA,GC-J237JSNV,"LG 659 L In Frost-Free Multi-Door Refrigerator (GC-J237JSNV, Noble Steel)"
NA,Amazon/Seller Fulfilled,"Samsung 680 L In Frost-free Side-by-Side Refrigerator (RF60J9090SL/TL, Stainless Steel)"
"135,000.00",Amazon/Seller Fulfilled,"Samsung 868 L In Frost-free Refrigerator (RH80J81323M/TL, Matiere Real Stainless)"
NA,Amazon/Seller Fulfilled,"Samsung RF28K9380SG Frost-free Side-by-Side Double-door Refrigerator (826 Ltrs, Black Cavior)"
"157,200.00",Brand Fulfilled,"Samsung 680 L In Frost-free Refrigerator (RF60J9090SL, Stainless Steel)"
"110,000.00",Amazon/Seller Fulfilled,"Samsung 571 L In Frost-free Double Door Refrigerator (RS51K56H02A, Mirror Black)"
NA,VPL60ZPS-FSC,"Videocon 604 L In Frost-Free Double Door Refrigerator (VPL60ZPS-FSC, Platinum Silver)"
"91,399.00",GC-L207GLQV,"LG 567 L In Frost-Free Double Door Refrigerator (GC-L207GLQV, Platinum Silver)"
"73,900.00",B207GPQV,"LG 581 L In Frost-Free Double Door Refrigerator (B207GPQV, Daffodil White)"
NA,Amazon/Seller Fulfilled,"Samsung 600 L 4 Star Frost-free Double Door Refrigerator (RS21HSTWA1/XTL, Camellia White)"
NA,VPP60ZPS SILVER,"Videocon 618 L In Frost-Free Double Door Refrigerator (VPP60ZPS SILVER, Platinum Silver)"
"107,000.00",R W660PND3 GBK,"Hitachi 586 L In Frost-Free Double Door Refrigerator (R W660PND3 GBK, Glass Black)"
"119,000.00",Amazon/Seller Fulfilled,"Samsung 585 L In Frost-free Double Door Refrigerator (RS21HZLMR1, Black Mirror)"
"76,691.00",GC-B207GPQV,"LG 581 L 3 Star Frost-Free Double Door Refrigerator (GC-B207GPQV, Daffodil White)"
"81,500.00",Amazon/Seller Fulfilled,"Samsung 600 L Frost-free Side-by-Side Refrigerator (RS21HSTPN , Platinum Inox)"
"96,500.00",Amazon/Seller Fulfilled,"Samsung 585 L Frost-free Side-by-side Refrigerator (RS21HUTPN1 , Platinum Inox)"
"121,000.00",Amazon/Seller Fulfilled,"Samsung 674 L 3 Star Frost-free Double Door Refrigerator (RH62K60177P/TL, Refined Gleam)"
"96,500.00",Amazon/Seller Fulfilled,"Samsung 591 L In Frost-free Double Door Refrigerator (RS554NRUA1J, Shinny River Pattern)"
"69,200.00",GC-B207GLQV,"LG 581 L In Frost-Free Side-by-Side Refrigerator (GC-B207GLQV, Platinum Silver)"
"52,990.00",HRF 618 SS-1,"Haier HRF 618 SS Frost-free Side-by-Side Refrigerator (565 Ltrs, Grey)"
"22,159.00",NEO DF258 ROY ILLUSIA STEEL(2S),"Whirlpool 245 L 2 Star Frost-Free Double Door Refrigerator (NEO DF258 ROY ILLUSIA STEEL(2S), Illusia Steel)"
"23,950.00",RT28M3022RZ,"Samsung 253 L 2 Star Frost Free  Refrigerator (RT28M3022RZ , Tender Lily Red)"
NA,RT30K3723S8,"Samsung 275 L 3 Star Frost-free Refrigerator (RT30K3723S8, Elegant Inox)"
"44,508.00",RT39M5538S8/TL,"Samsung 394 L 3 Star Frost-free Double Door Refrigerator (RT39M5538S8/TL, Elegant Inox)"
"23,990.00",RT EON 261 P 3.4,"Godrej 261 L 3 Star Frost-Free Double Door Refrigerator (RT EON 261 P 3.4, Silver Meadow)"
"22,990.00",NEO DF278 PRM ILLUSIA STEEL(3S),"Whirlpool 265 L 3 Star Frost-Free Double Door Refrigerator (NEO DF278 PRM ILLUSIA STEEL(3S), Illusia Steel)"
"22,990.00",RT EON 241 P 3.4,"Godrej 241 L 3 Star Frost-Free Double Door Refrigerator (RT EON 241 P 3.4, Silver Meadow)"
"27,600.00",GL-I302RPZY,"LG 284 L 3 Star Frost-Free Refrigerator (GL-I302RPZY, Shiny Steel)"
"30,090.00",GL-T292RSOY,"LG 260 L 3 Star Frost-Free Double Door Refrigerator (GL-T292RSOY, Scarlet Orchid)"
"19,319.00",Amazon/Seller Fulfilled,"Samsung 255 L 1 Star Frost-free Refrigerator (RT26H3000SE ,ELECTIVE Silver)"
"46,190.00",GL-U402JPZX,"LG 360 L 4 Star Frost-Free Double Door Refrigerator (GL-U402JPZX, Shiny Steel)"
"21,979.00",NEO SP258 ROY WINE EXOTICA(2S),"Whirlpool 245 L 2 Star Frost-Free Double Door Refrigerator (NEO SP258 ROY WINE EXOTICA(2S), Wine Exotica)"
NA,GL-Q282RPOY,"LG 255 L 3 Star Frost-Free Double Door Refrigerator (GL-Q282RPOY, Purple Orchid)"
"25,949.00",Amazon/Seller Fulfilled,"Samsung RT28K3343R2/HL 253 L 3 Star Frost Free Double Door Refrigerator, Star Flower Red"
"29,499.00",PRO 355 ELT ILLUSIA STEEL (2S),"Whirlpool 340 L 2 Star Frost-Free Double Door Refrigerator (PRO 355 ELT ILLUSIA STEEL (2S), Illusia Steel)"
"21,989.00",HRF-2904BS-R/HRF-2904BS-E,"Haier 270 L 3 Star Frost-Free Double Door Refrigerator (HRF-2904BS-R/HRF-2904BS-E, Brushline Silver)"
NA,RT28M3954R3,"Samsung 253 L 4 Star Frost Free  Refrigerator (RT28M3954R3 , Rose Mallow Plum)"
"24,999.00",IF278 ELT WINE ALPHA(3S),"Whirlpool 265 L 3 Star Frost-Free Double Door Refrigerator (IF278 ELT WINE ALPHA(3S), Wine Alpha)"
NA,GL-T302RPZX,"LG 284 L 4 Star Frost-Free Double Door Refrigerator (GL-T302RPZX, Shiny Steel)"
"31,999.00",IF 355 ELT ALPHA STEEL(3S),"Whirlpool 340 L 3 Star Frost-Free Double Door Refrigerator (IF 355 ELT ALPHA STEEL(3S), Alpha Steel)"
NA,GL-Q282SPAM,"LG 255 L 3 Star Frost-Free Double Door Refrigerator (GL-Q282SPAM, Purple Aster)"
"18,990.00",NEO FR258 CLS PLUS WINE ADONIS(2S),"Whirlpool 245 L 2 Star Frost-Free Double Door Refrigerator (NEO FR258 CLS PLUS WINE ADONIS(2S), Wine Adonis)"
"18,990.00",HRF-2674BS-R/HRF-2674BS-E,"Haier 247 L 3 Star Frost-Free Double Door Refrigerator (HRF-2674BS-R/HRF-2674BS-E, Brushline Silver)"
"23,990.00",Amazon/Seller Fulfilled,"Samsung 253 L 2 Star Frost-free Double Door Refrigerator (RT28K3722UT, Pebble Blue)"
"12,490.00",GL-B191KSHU.ASHZEBN,"LG 188 L 1 Star Direct-Cool Single Door Refrigerator (GL-B191KSHU.ASHZEBN, Scarlet Heart)"
"17,850.00",Amazon/Seller fulfilled,"Samsung 212 L 4 Star Direct Cool  Refrigerator (RR22M242YSE/NL , Elective Silver)"
"15,490.00",GL-D201ASAW.ASAZEBN,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-D201ASAW.ASAZEBN, Scarlet Aster)"
"11,990.00",RD Edge 185 E3H 2.2,"Godrej 185 L 2 Star Direct-Cool Single-Door Refrigerator (RD Edge 185 E3H 2.2, Berry Bloom)"
"14,999.00",GL-B201ASDX.ASDZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-B201ASDX.ASDZEBN, Scarlet Dazzle)"
"15,490.00",GL-B201APDX.APDZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-B201APDX.APDZEBN, Purple Dazzle)"
"10,990.00",GL-B181RRLU.ARLZEBN,"LG 185 L 1 Star Direct-Cool Single Door Refrigerator (GL-B181RRLU.ARLZEBN, Ruby Luster)"
"13,790.00",215 IMPWCOOL PRM 3S GREY TITANIUM-E,"Whirlpool 200 L 3 Star Direct-Cool Single Door Refrigerator (215 IMPWCOOL PRM 3S GREY TITANIUM-E, Grey Titanium)"
"15,499.00",GL-B221APAW.DPAZEBN,"LG 215 L 3 Star Direct-Cool Single Door Refrigerator (GL-B221APAW.DPAZEBN, Purple Aster)"
