price,model,title
"5,099.00",WS65WLPT1LR Liliput,"Onida 6.5 kg Washer Only (WS65WLPT1LR Liliput, Lava Red)"
"12,345.00",WS Edge 680 CT,"Godrej WS Edge 680 CT Semi-automatic Washing Machine (6.8 Kg, Wine red)"
"9,400.00",GWS 6204 PPD,"Godrej  6.2 kg Semi-Automatic Top Loading Washing Machine (GWS 6204 PPD Twin Tub, Wine Red)"
"11,690.00",WT655QPNDRP,"Samsung 6.5 kg Semi-Automatic Top Loading Washing Machine (WT655QPNDRP, White and Purple)"
"11,490.00",MWMSA080015,"Midea 8 kg Semi-Automatic Top Loading Washing Machine (MWMSA080015, Dark Grey)"
"13,050.00",Ace 7.2 Royale(7.2 Kg),"Whirlpool Ace 7.2 Royale Semi-automatic Top-loading Washing Machine (7.2 Kg, Peppy Purple)"
"13,200.00",NA-W72B2RRB - 7.2 Kg,"Panasonic NA-W72B2RRB Semi-automatic Washing Machine (7.2 Kg, Maroon)"
"12,200.00",NA-W70B2HRB - 7.0kg,"Panasonic NA-W70B2HRB Semi-automatic Washing Machine (7 Kg, Grey)"
"11,500.00",NA-W68B2HRB - 6.8kg,"Panasonic NA-W68B2HRB Semi-automatic Washing Machine (6.8 Kg, Grey)"
NA,NA-W68B2RRB - 6.8kg,"Panasonic NA-W68B2RRB Semi-automatic Washing Machine (6.8 Kg, Maroon)"
"13,200.00",WT-9201,"Samsung WT-9201 Semi-automatic Washing Machine (7.2 Kg, Light Grey)"
"13,475.00",WT9205EG/XTL,"Samsung WT9205EG/XTL Semi-automatic Twin-tub Washing Machine (7.2 Kg, Light Grey)"
"8,399.00",KS7052DM-FAU,"Kelvinator KS7052DM-FAU Semi-automatic Top-loading Washing Machine (7 Kg, Maroon)"
"7,699.00",KS60VAGL-DNB,"Kelvinator KS60VAGL-DNB Semi-automatic Top-loading Washing Machine (6 Kg,Grey Light)"
NA,VS85P18,"Videocon VS85P18 Virat Ultima+ Semi-automatic Top-loading Washing Machine (8.5 Kg, Royal Purple)"
NA,Ace 8.2 Super Soak,"Whirlpool Ace 8.2 Super Soak Semi-automatic Top-loading Washing Machine (8.2 kg, Ace Blue)"
NA,Euro Glam WM ES73GLDG,"Electrolux 7.3 kg Semi-Automatic Top Loading Washing Machine (Euro Glam WM ES73GLDG, Grey)"
NA,SUPERB ATOM 65S,"Whirlpool Superb Atom 65S Semi-automatic Top-loading Washing Machine (6.5 Kg, Ruby)"
NA,P9562R3S,"LG P9562R3S Semi-automatic Washing Machine (8.5 Kg, Dark Grey)"
NA,P8837R3SM,"LG P8837R3SM Semi-automatic Washing Machine (7.8 Kg, Dark Blue)"
"10,000.00",P7258N1FA,"LG 6.2 kg Semi-Automatic Top Loading Washing Machine (P7258N1FA, Dark Blue)"
NA,VS72H13 Gracia Exe,"Videocon VS72H13 Gracia Exe Semi-automatic Top-loading Washing Machine (7.2 Kg, Dark Maroon)"
"9,490.00",WMSA80LV,"Intex 8 kg Semi-Automatic Top Loading Washing Machine (WMSA80LV, White and Lavender)"
"9,490.00",WMS76ST,"Intex 7.6 kg Semi-Automatic Top Loading Washing Machine (WMS76ST, White and Gray)"
"9,990.00",ATOM62S,"Whirlpool 6.2 kg Semi-Automatic Top Loading Washing Machine (ATOM62S, Ruby)"
"8,565.00",Euro Glitz Plus,"Electrolux Euro Glitz Plus Semi-automatic Top-loading Washing Machine (6.8 Kg, Luminous Orange)"
NA,P7252N3FA,"LG 6.2 kg Semi-Automatic Top Loading Washing Machine (P7252N3FA, Dark Blue)"
"13,528.00",Amazon/Seller Fulfilled,"Samsung WT1007AG/TL Semi Automatic Top Load Washing Machine (8Kg, Grey)"
"14,700.00",GWS 8502 PPL,"Godrej GWS 8502 PPL Semi-automatic Top-loading Washing Machine (8.5 Kg, Apple Green)"
"6,799.00",46-1298S,"DMR 4.6 kg Semi-Automatic Top Loading Washing Machine (46-1298S, Blue)"
"12,890.00",NA-W80H2ARB,"Panasonic 8 kg Semi-Automatic Top Loading Washing Machine (NA-W80H2ARB, Blue and White)"
NA,Ace Turbodry 8.5,"Whirlpool 8.5 kg Semi-Automatic Top Loading Washing Machine (Ace Turbodry 8.5, Coral Red)"
"15,350.00",P9042R3SM,"LG 8.0 kg Semi-Automatic Top Loading Washing Machine (P9042R3SM, Burgundy)"
"11,340.00",P7550R3FA,"LG 6.5 kg Semi-Automatic Top Loading Washing Machine (P7550R3FA, Dark Grey)"
NA,Ace Turbodry 8.0,"Whirlpool 8 kg Semi-Automatic Top Loading Washing Machine (Ace Turbodry 8.0, Coral Purple)"
"12,847.00",WS Edge 700 CT,"Godrej WS Edge 700 CT Semi-automatic Top-loading Washing Machine (7 Kg, Lavender)"
NA,WS 800 PDS,"Godrej WS 800 PDS Semi-automatic Top-loading Washing Machine (8 Kg, Lilac Sprinkle)"
"8,590.00",BSATL72N1,"BPL 7.2 kg Semi-Automatic Top Loading Washing Machine (BSATL72N1, White and Maroon)"
"8,999.00",Superb Atom 60I,"Whirlpool 6 kg Semi-Automatic Top Loading Washing Machine (Superb Atom 60I, Purple)"
"11,999.00",GB58615,"Godrej 7 kg Semi-Automatic Top Loading Washing Machine (WS 700 CT, Wine Red)"
"3,800.00",DMR 30-1208,"DMR 3 kg Portable Mini Washing Machine with Dryer Basket  (DMR 30-1208, Pink)"
NA,HIWM,Hilton Single Tub 3kg Washing Machine with Spin Dryer
"4,799.00",DMR 46-1218,"DMR 46-1218 Single Tub Washing Machine with Steel Dryer Basket (4.6 kg, Blue)"
"7,190.00",BSATL62N1,"BPL 6.2 kg Semi-Automatic Top Loading Washing Machine (BSATL62N1, Maroon)"
NA,NA-W65B3RRB,"Panasonic 6.5 kg Semi-Automatic Top Loading Washing Machine (NA-W65B3RRB, Red)"
"3,850.00",DMR 30-1208,"DMR 3 kg Portable Mini Washing Machine with Dryer Basket  (DMR 30-1208, Blue)"
"9,199.00",Superb Atom 62I,"Whirlpool 6.2 kg Semi-Automatic Top Loading Washing Machine (Superb Atom 62I, Dark Grey)"
"4,780.00",WM75ST,"Intex 7.5 kg Washer Only (WM75ST, White and Grey)"
"12,449.00",WT725QPNDMP,"Samsung 7.2 kg Semi-Automatic Top Loading Washing Machine (WT725QPNDMP, White and Blue)"
"8,799.00",Superb Atom 60I,"Whirlpool 6 kg Semi-Automatic Top Loading Washing Machine (Superb Atom 60I, Tulip Pink)"
"7,199.00",HYS72F,"Hyundai 7.2 kg Semi-Automatic Top Loading Washing Machine (HYS72F, Luminous Blue)"
"13,850.00",P8541R3SA,"LG 7.5 kg Semi-Automatic Top Loading Washing Machine (P8541R3SA, Burgundy)"
"6,799.00",WMS62TL,"Intex 6.2 kg Semi-Automatic Top Loading Washing Machine (WMS62TL, White and Maroon)"
"8,690.00",80WMVM Twin Tub 8,"Noble Skiodo 8 kg Semi-Automatic Top Loading Washing Machine (80WMVM Twin Tub 8, White & Grey)"
