price,model,title
"29,540.00",T9003TEELK,"LG T9003TEELK Top-loading Washing Machine (8 Kg, Black Knight)"
"24,200.00",WT EON 651 PFD,"Godrej WT EON 651 PFD Fully-automatic Top-loading Washing Machine (6.5 Kg, Metallic Red)"
"35,190.00",WF652U2BHSD/TL,"Samsung WF652U2BHSD/TL Fully-Automatic Front-Loading Washing Machine (6.5 Kg, Silver)"
NA,Elite Aqua SXG 7Kg 1200RPM,"IFB Elite Aqua SXG Fully-automatic Front-loading Washing Machine (7 Kg, Gold)"
NA,Elite Aqua SXR 7Kg 1200RPM,"IFB Elite Aqua SXR Fully-automatic Front-loading Washing Machine (7 Kg, Red)"
NA,Elite Aqua SXM 7Kg 1200RPM,"IFB Elite Aqua SXM Fully-automatic Front-loading Washing Machine (7 Kg, Metallic Silver)"
NA,Amazon/Seller Fulfilled,Samsung WA62H4000HD/TL Fully Automatic Washing Machine (6.2 kg)
NA,WT 650 CF,"Godrej WT650CF Fully-automatic Top-loading Washing Machine (6.5 Kg, Car Red)"
NA,WM PREMIER 622SD-WINE CHROME,"Whirlpool 622SD Whitemagic Premier Top-loading Washing Machine (6.2 Kg, Wine Chrome)"
"29,570.00",WAK20168IN,"Bosch WAK20168IN Fully-automatic Front-loading Washing Machine (7 Kg, Silver)"
NA,FH096WDL23,"LG FH096WDL23 Fully-automatic Front-loading Washing Machine (6.5 Kg, Blue White)"
"34,500.00",F10B8NDL25,"LG F10B8NDL25 Fully-automatic Front-loading Washing Machine (6 Kg, Luxury Silver)"
"25,990.00",F7091MDL2,"LG F7091MDL2 Fully-automatic Front-loading Washing Machine (5.5 Kg, White)"
"32,500.00",TL95SDG,"IFB TLSDG Fully-automatic Top-loading Washing Machine (9.5 Kg, Graphite Grey)"
"23,490.00",T7567TEELR,"LG T7567TEELR Top-loading Fully-automatic Washing Machine (6.5 Kg, Free Silver)"
"17,500.00",6212SD Whitemagic Royale,"Whirlpool 6212SD Whitemagic Royale Fully-automatic Top-loading Washing Machine (6.2 kg, Grey Chrome)"
"40,990.00",F12B8EDP21,"LG F12B8EDP21 Fully-automatic Front-loading Washing Machine (7.5 Kg, Blue White)"
NA,F10E3NDL25,"LG F10E3NDL25 Fully-automatic Front-loading Washing Machine (6 Kg, Luxury Silver)"
"59,990.00",F1496ADP24,"LG F1496ADP24 Six Motion Direct Drive Fully-automatic Front-loading Washing Machine (8 Kg, Silver)"
"31,000.00",360 WRD SR WS 80H,"Whirlpool 8 kg Fully-Automatic Top Loading Washing Machine (360 WRD SR WS 80H, Graphite)"
NA,T7070TDDL,"LG 6 kg Fully-Automatic Top Loading Washing Machine (T7070TDDL, Blue/White)"
"27,100.00",360 World Series 72H,"Whirlpool 7.2 kg Fully-Automatic Top Loading Washing Machine (360 World Series 72H , Graphite)"
"20,690.00",HWM75-707NZP,"Haier 7.5 kg Fully-Automatic Top Loading Washing Machine (HWM75-707NZP, Silver Grey)"
"20,576.00",HW60-1010AS-1,"Haier 6 kg Fully-Automatic Front Loading Washing Machine (HW60-1010AS-1, Silver and Grey)"
"31,999.00",FH0G6WDNL22,"LG 6.5 kg Fully-Automatic Front Loading Washing Machine (FH0G6WDNL22, Blue White)"
"23,900.00",WM07X060IN,"Siemens WM07X060IN Front-loading Washing Machine (5.5 Kg, White)"
NA,WTA76200IN,"Bosch 7 kg Dryer  (WTA76200IN, White)"
NA,WA62K4200HY,"Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62K4200HY, Sparkling Gray and light grey)"
"19,800.00",Amazon/Seller Fulfilled,"Samsung WA65H4200HA/TL Fully Automatic Top-loading Washing Machine (6.5 kg, Light Grey)"
NA,T72CMG22P,"LG 6.2 kg Fully-Automatic Top Loading Washing Machine (T72CMG22P, Marine Blue / Cool Grey)"
"20,499.00",WT Eon 701 PFH,"Godrej Eon WT Eon 701 PFH Fully-automatic Top-loading Washing Machine (7 Kg, Royal Grey)"
"28,990.00",WAK20060IN,"Bosch WAK20060IN Fully-automatic Front-loading Washing Machine (7 Kg ,White)"
