price,model,title
"20,799",Diva Aqua VX,IFB 6 kg Fully Automatic Front Load Washing Machine
"26,999",WAK24168IN,Bosch 7 kg Fully Automatic Front Load Washing Machine Silver
"33,999",Senator Aqua SX,IFB 8 kg Fully Automatic Front Load Washing Machine
"22,999",FH0B8NDL22,LG 6 kg Fully Automatic Front Load Washing Machine White
"24,499",FH0H3NDNL02,LG 6 kg Fully Automatic Front Load Washing Machine White
"20,499",WAB16060IN,Bosch 6 kg Fully Automatic Front Load Washing Machine
"29,990",Senorita Aqua SX - 6.5 KG,IFB 6.5 kg Fully Automatic Front Load Washing Machine
"25,999",Serena Aqua SX LDT,IFB 6 kg Fully Automatic Front Load Washing Machine
"29,499",FH0B8QDL22,LG 7 kg Fully Automatic Front Load Washing Machine White
"24,500",WW60M206LMW/TL,Samsung 6 kg Fully Automatic Front Load Washing Machine White
"34,999",WAT24168IN,Bosch 8 kg Fully Automatic Front Load Washing Machine White
"28,999",WW65M206L0W/TL,Samsung 6.5 kg Fully Automatic Front Load Washing Machine White
"25,499",WAK20165IN,Bosch 6.5 kg Fully Automatic Front Load Washing Machine
"30,499",FH0G7WDNL52,LG 6.5 kg Fully Automatic Front Load Washing Machine Silver
"15,499",WMFF60BD,Intex 6 kg Fully Automatic Front Load Washing Machine White
"26,999",WAK20160IN,Bosch 7 kg Fully Automatic Front Load Washing Machine White
"25,999",WF Eon 600 PAEC,Godrej 6 kg Fully Automatic Front Load Washing Machine White
"31,999",WF Eon 700 PASE,Godrej 7 kg Fully Automatic Front Load Washing Machine White
"28,999",Elite Aqua VXS,IFB 7 kg Fully Automatic Front Load Washing Machine
"29,999",FH0G6WDNL22,LG 6.5 kg Fully Automatic Front Load Washing Machine White
"28,999",Elite Aqua VX,IFB 7 kg Fully Automatic Front Load Washing Machine
"25,999",Serena Aqua VX,IFB 6.5 kg Fully Automatic Front Load Washing Machine White
"39,000",EWF14112,Electrolux 11 Kg Fully Automatic Front Load Washer with Dryer White
"28,499",WAK 20167IN,Bosch 6.5 kg Fully Automatic Front Load Washing Machine Silver
"7,280",NA-W65B2RRB,Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Red
"6,280",WMS62TL,Intex 6.2 kg Semi Automatic Top Load Washing Machine Maroon
"7,290",HYS72F,Hyundai 7.2 kg Semi Automatic Top Load Washing Machine
